question_id,claim,verdict,confidence,evidence_source,evidence_text
3,"Arre, yeh to context mein clearly nahi likha hai ki government employee hone se PM-KISAN ka fayda milta hai ya nahi",SUPPORTED,0.9,PM-KISAN,"[PM-KISAN] 1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”.
---
[PM-KISAN] What are the benefits of the Scheme? The followin cate o of farmers are not eli ible to et the benefits of the PM-Kisan"
3,Bas itna likha hai ki shuruat mein sirf small,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019
---
[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme."
3,marginal farmers ke liye tha,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
3,baad mein sabhi farmer families ko include kar liya gaya,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the scheme? Yes. The ambit of the scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.
---
[PM-KISAN] 1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”."
3,"exclusion criteria ke baare mein kuch nahi likha hai, to hum keh nahi sakte ki government employee hone se fayda milega ya nahi",CONTRADICTED,0.98,PM-KISAN,"[PM-KISAN] Micro land holdings, which are not cultivable, are excluded from the benefit under the scheme.
---
[PM-KISAN] 4 Exclusions 4.1 The following categories of beneficiaries of higher economic status shall not be eligible for benefit under the scheme: (a) All Institutional Land holders; and (b) Farmer families in which one or more of its members belong to following categories : i) Former and present holders of constitutional posts ii) Former and present Ministers / State Ministers and former / present  Members of Lok Sabha / Rajya Sabha / State Legislative Assemblies / State Legislative Councils, former and present Mayors of Municipal Corporations, former and present Chairpersons of District Panchayats. iii) All serving or retired officers and employees of Central / State Government Ministries / Offices / Departments and their field units, Central or State PSEs and Attached offices / Autonomous Institutions under Government as well as regular employees of the Local Bodies (Excluding Multi Tasking Staff / Class IV / Group D employees) iv) All superannuated / retired pensioners whose monthly pension is Rs.10,000/- or more (Excluding Multi Tasking Staff / Class IV / Group D employees) v) All Persons who paid Income Tax in last assessment year. vi) Professionals like Doctors, Engineers, Lawyers, Chartered Accountants, and Architects registered with Professional bodies and carrying out profession by undertaking practices. (c) In case of new beneficiaries being uploaded on the PM-KISAN Portal, all land holding farmers’ families who are Non-resident Indians (NRIs) in terms of the provisions of the Income Tax Act, 1961 shall be excluded from any benefit under the Scheme. 4.2 For the purpose of exclusion State / UT Governments can certify the eligibility of the beneficiaries based on self declaration by the beneficiaries. In case beneficiary is not available / does not reside in the village, State / UT Governments may consider certification based on the declaration by other adult member of his / her family. In case of incorrect self declaration, beneficiary shall be liable for recovery of transferred financial benefit and other penal actions as per law."
4,PM-KISAN ke liye minimum landholding requirement nahin hai,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019
---
[PM-KISAN] Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?) Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months."
4,"Pehle scheme launch hua tha sirf Small & Marginal Farmers' (SMF) families ke liye, jinke paas 2 hectare tak ki landholding thi",SUPPORTED,0.98,PM-KISAN,"[PM-KISAN] Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the scheme? Yes. The ambit of the scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
4,baad mein scheme revise kiya gaya,SUPPORTED,0.99,PM-KISAN,"[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019
---
[PM-KISAN] From which date the Scheme has come into effect? The scheme takes effect from 01 .12.2018"
4,"ab yeh scheme sabhi farmer families ke liye hai, chahe unke paas kitni bhi landholding ho",SUPPORTED,0.98,PM-KISAN,"[PM-KISAN] Will any individual or farmer family owning more than 2 hectare of cultivable land get any benefit under the scheme? Yes. The ambit of the scheme has been extended to cover all farmer families, irrespective of the size of their land holdings.
---
[PM-KISAN] Who are eligible to get benefits under the Scheme? All landholding farmers' families, which have cultivable landholding in their names are eligible to get benefit under the scheme"
5,"PM-KISAN ki agarli installment kab tak aayegi, iske baare mein to exact date nahi di gayi hai",SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] If a farmer registered under the Scheme does not receive any installment in any 4-monthly period for any reason, whether he / she will be able to receive the same later on? Yes. The beneficiaries, whose names are uploaded on P[\/-Kisan portal by the concerned State / UT Governments in a particular 4-monthly period, shall be entitled to receive the benefit for that period with effect from that 4-monthly period itself. lf they do not receive the payment of installment pertaining to that 4-monthly period and subsequent installments for any reason, except due to rejection for falling within the exclusion criteria, they are entitled to receive the benefits of all the due installments as and when the cause of delay is removed / resolved. For example, if an eligible farmer's name has been uploaded on the PIV-KISAN portal by the State / UT Government during the 4-monthly period of December. 2018 - l\/arch, 2019, he/she is entitled to get the installment pertaining to December, 2018 - lVarch, 20'19 period, and also all subsequent installments. Further. if the eligible farmer's name is uploaded on the PIV- KISAN portal during the 4-monthly period of April-July, 2019, he/she is entitled to get the installment pertarning to April-July, 2019 period and also all subsequent installments. lVlany beneficiaries, who have received installments pertaining to December, 2018 - IMarch, 2019 period and April-July, 2019 period were not able to receive the installment pertaining to August,-November, 2019 period. The reason for this delay was the mandatory requirement of release of all installments pertaining to the 4-monthly period August-November, 2019 and onwards only on the basis of Aadhaar seeded data of beneficiaries. This work of Aadhaar seeding of data of beneficiaries had not been completed by many State / UT Governments. Therefore, the Central Government uirement till 30th November, 2019. The State / UTrelaxed this mandato re I Governments are required to complete the work of Aadhaar seeding of 100% beneficiaries by 30th November, 2019, so that the beneficiaries are able to receive the installment pertaining to the 4-monthly period of December, 2019 - March, 2020, and all subsequent installments. Beneficiaries in the States of Assam, Meghalaya and J&K (now UTs of J&K and Laddakh) have been exempted from all Aadhaar related requirements till 31't IVIarch, 2020, by which time these States are also required to complete the process of Aadhaar enrollment of all eligible farmers as well as Aadhaar seeding of their data under this Scheme.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
5,yeh scheme ke mutabik 4 monthly period mein 3 equal installments of Rs.2000 each di jaati hai,SUPPORTED,0.97,PM-KISAN,"[PM-KISAN] How many times the benefit will be given in a year? Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on
---
[PM-KISAN] Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?) Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months."
5,"Toh agar aapke paas pehli installment aa chuki hai, toh agli installment 4 month ke baad aayegi",SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] If a farmer registered under the Scheme does not receive any installment in any 4-monthly period for any reason, whether he / she will be able to receive the same later on? Yes. The beneficiaries, whose names are uploaded on P[\/-Kisan portal by the concerned State / UT Governments in a particular 4-monthly period, shall be entitled to receive the benefit for that period with effect from that 4-monthly period itself. lf they do not receive the payment of installment pertaining to that 4-monthly period and subsequent installments for any reason, except due to rejection for falling within the exclusion criteria, they are entitled to receive the benefits of all the due installments as and when the cause of delay is removed / resolved. For example, if an eligible farmer's name has been uploaded on the PIV-KISAN portal by the State / UT Government during the 4-monthly period of December. 2018 - l\/arch, 2019, he/she is entitled to get the installment pertaining to December, 2018 - lVarch, 20'19 period, and also all subsequent installments. Further. if the eligible farmer's name is uploaded on the PIV- KISAN portal during the 4-monthly period of April-July, 2019, he/she is entitled to get the installment pertarning to April-July, 2019 period and also all subsequent installments. lVlany beneficiaries, who have received installments pertaining to December, 2018 - IMarch, 2019 period and April-July, 2019 period were not able to receive the installment pertaining to August,-November, 2019 period. The reason for this delay was the mandatory requirement of release of all installments pertaining to the 4-monthly period August-November, 2019 and onwards only on the basis of Aadhaar seeded data of beneficiaries. This work of Aadhaar seeding of data of beneficiaries had not been completed by many State / UT Governments. Therefore, the Central Government uirement till 30th November, 2019. The State / UTrelaxed this mandato re I Governments are required to complete the work of Aadhaar seeding of 100% beneficiaries by 30th November, 2019, so that the beneficiaries are able to receive the installment pertaining to the 4-monthly period of December, 2019 - March, 2020, and all subsequent installments. Beneficiaries in the States of Assam, Meghalaya and J&K (now UTs of J&K and Laddakh) have been exempted from all Aadhaar related requirements till 31't IVIarch, 2020, by which time these States are also required to complete the process of Aadhaar enrollment of all eligible farmers as well as Aadhaar seeding of their data under this Scheme.
---
[PM-KISAN] How many times the benefit will be given in a year? Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on"
6,Context mein naye kisan registration ke liye last date ka ullekh nahi hai,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] If a farmer registered under the Scheme does not receive any installment in any 4-monthly period for any reason, whether he / she will be able to receive the same later on? Yes. The beneficiaries, whose names are uploaded on P[\/-Kisan portal by the concerned State / UT Governments in a particular 4-monthly period, shall be entitled to receive the benefit for that period with effect from that 4-monthly period itself. lf they do not receive the payment of installment pertaining to that 4-monthly period and subsequent installments for any reason, except due to rejection for falling within the exclusion criteria, they are entitled to receive the benefits of all the due installments as and when the cause of delay is removed / resolved. For example, if an eligible farmer's name has been uploaded on the PIV-KISAN portal by the State / UT Government during the 4-monthly period of December. 2018 - l\/arch, 2019, he/she is entitled to get the installment pertaining to December, 2018 - lVarch, 20'19 period, and also all subsequent installments. Further. if the eligible farmer's name is uploaded on the PIV- KISAN portal during the 4-monthly period of April-July, 2019, he/she is entitled to get the installment pertarning to April-July, 2019 period and also all subsequent installments. lVlany beneficiaries, who have received installments pertaining to December, 2018 - IMarch, 2019 period and April-July, 2019 period were not able to receive the installment pertaining to August,-November, 2019 period. The reason for this delay was the mandatory requirement of release of all installments pertaining to the 4-monthly period August-November, 2019 and onwards only on the basis of Aadhaar seeded data of beneficiaries. This work of Aadhaar seeding of data of beneficiaries had not been completed by many State / UT Governments. Therefore, the Central Government uirement till 30th November, 2019. The State / UTrelaxed this mandato re I Governments are required to complete the work of Aadhaar seeding of 100% beneficiaries by 30th November, 2019, so that the beneficiaries are able to receive the installment pertaining to the 4-monthly period of December, 2019 - March, 2020, and all subsequent installments. Beneficiaries in the States of Assam, Meghalaya and J&K (now UTs of J&K and Laddakh) have been exempted from all Aadhaar related requirements till 31't IVIarch, 2020, by which time these States are also required to complete the process of Aadhaar enrollment of all eligible farmers as well as Aadhaar seeding of their data under this Scheme.
---
[PM-KISAN] From which date the Scheme has come into effect? The scheme takes effect from 01 .12.2018"
7,PM-KISAN ke liye eKYC complete karne ki deadline ke bare mein is context mein koi jankari nahin hai,SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] 1. Scheme With a view to provide income support to all landholding farmers’ families in the country, having cultivable land, the Central Government has implemented a Central Sector Scheme, namely, “Pradhan Mantri Kisan Samman Nidhi (PM-KISAN)”.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
8,"PM-KISAN scheme mein ek saal mein total 6000 rupees milta hai, jo ki 3 installments mein diya jata hai, har installment mein 2000 rupees",SUPPORTED,0.99,PM-KISAN,"[PM-KISAN] Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?) Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months.
---
[PM-KISAN] How many times the benefit will be given in a year? Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on"
9,Har installment mein 2000 rupees transfer hote hain,SUPPORTED,0.99,PM-KISAN,"[PM-KISAN] How many times the benefit will be given in a year? Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on
---
[PM-KISAN] Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?) Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months."
9,"Total 6000 rupees per annum per family diya jata hai, jo 3 equal installments mein diya jata hai, har 4 mahine mein 2000 rupees",SUPPORTED,0.99,PM-KISAN,"[PM-KISAN] Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?) Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months.
---
[PM-KISAN] How many times the benefit will be given in a year? Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on"
10,"Haan, PM-KISAN scheme ke hisab se, sabhi states ke kisano ke liye amount same hai, jo ki Rs. 6000 per annum per family hai, jo ki 3 equal installments mein diya jata hai, har installment Rs. 2000 ka hota hai",SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] Who are not eligible to get benefits under the Scheme? (What are the Exclusion Criteria under the Scheme?) Under the PM-KISAN scheme, all landholding farmers' famities shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.2000/- each, every four months.
---
[PM-KISAN] How many times the benefit will be given in a year? Under the Plv-KlsAN scheme, all landholding farmers' families shall be provided the financial benefit of Rs.6000/- per annum per family payable in three equal installments of Rs.200O/- each, every four months. The period of 1't installment under the scheme is from 01 .12 2O18 to 31 03 2019, that of 2nd installment from 01 04.2019 to 31 07 .2019,3'd installment from 01 08.2019 to 30 11 2019, and so on"
11,"Haan, agar aapka application late approve hua hai, to bhi aapko pichle installments mil sakte hain",SUPPORTED,0.95,PM-KISAN,"[PM-KISAN] If a farmer registered under the Scheme does not receive any installment in any 4-monthly period for any reason, whether he / she will be able to receive the same later on? Yes. The beneficiaries, whose names are uploaded on P[\/-Kisan portal by the concerned State / UT Governments in a particular 4-monthly period, shall be entitled to receive the benefit for that period with effect from that 4-monthly period itself. lf they do not receive the payment of installment pertaining to that 4-monthly period and subsequent installments for any reason, except due to rejection for falling within the exclusion criteria, they are entitled to receive the benefits of all the due installments as and when the cause of delay is removed / resolved. For example, if an eligible farmer's name has been uploaded on the PIV-KISAN portal by the State / UT Government during the 4-monthly period of December. 2018 - l\/arch, 2019, he/she is entitled to get the installment pertaining to December, 2018 - lVarch, 20'19 period, and also all subsequent installments. Further. if the eligible farmer's name is uploaded on the PIV- KISAN portal during the 4-monthly period of April-July, 2019, he/she is entitled to get the installment pertarning to April-July, 2019 period and also all subsequent installments. lVlany beneficiaries, who have received installments pertaining to December, 2018 - IMarch, 2019 period and April-July, 2019 period were not able to receive the installment pertaining to August,-November, 2019 period. The reason for this delay was the mandatory requirement of release of all installments pertaining to the 4-monthly period August-November, 2019 and onwards only on the basis of Aadhaar seeded data of beneficiaries. This work of Aadhaar seeding of data of beneficiaries had not been completed by many State / UT Governments. Therefore, the Central Government uirement till 30th November, 2019. The State / UTrelaxed this mandato re I Governments are required to complete the work of Aadhaar seeding of 100% beneficiaries by 30th November, 2019, so that the beneficiaries are able to receive the installment pertaining to the 4-monthly period of December, 2019 - March, 2020, and all subsequent installments. Beneficiaries in the States of Assam, Meghalaya and J&K (now UTs of J&K and Laddakh) have been exempted from all Aadhaar related requirements till 31't IVIarch, 2020, by which time these States are also required to complete the process of Aadhaar enrollment of all eligible farmers as well as Aadhaar seeding of their data under this Scheme.
---
[PM-KISAN] Whether the benefits of the scheme are admissible to only Small & Marginal Farmers' (SMF) families? No. ln the beginning when the PtV-Kisan Scheme was launched on 24i\ February, 2019, its benefits were admissible only to Small & I/larginal Farmers' (SI\4F) families, with combined landholding upto 2 hectare. The Scheme was later on revised w.e.f. 1 .6.2019 and extended to all farmer families irrespective of the srze of their landholdings The PM-Kisan Scheme was launched by the Hon'ble Prime Minister on 24th February, 2019"
