question_id,pipeline,answer
27,plain,"Ayushman Bharat card banwane ke liye aapko PM/CM entitlement letter, Ration Card, aur Aadhaar Card chahiye, lekin Aadhaar Card sirf identification ke liye hai."
28,plain,"Ration card ek zaroori document hai Ayushman Bharat Pradhan Mantri Jan Arogya Yojana ke liye, jiske liye eligibility check kiya jata hai. Iske alawa PM/CM entitlement letter aur Aadhaar Card bhi zaroori hain identification ke liye."
29,plain,"Context mein iska jawab nahi hai, bas itna pata hai ki hospitals mein free treatment milega aur hospitals ko additional money charge karne ki ijazat nahi hogi, lekin koi specific ID ke bare mein kuch nahi likha hai."
30,plain,"Family details verify karne ke liye aapko apne documents jaise ki Aadhaar Card, Ration Card, aur anya prescribed documents jaise ki Driving Licence, Voters' ID Card, NREGA Job Card, etc. submit karne pad sakte hain."
31,plain,"Post-Matric scholarship ke liye woh students eligible hain jo Scheduled Castes se belong karte hain aur jo post-matriculation ya post-secondary courses pursue kar rahe hain. Iske alawa, unke parents ki income 2.5 lakh se zyada nahi honi chahiye. Aur, students ko matriculation ya higher secondary examination pass hona chahiye."
32,plain,"Nahin, yeh scholarship sirf Scheduled Caste (SC) students ke liye hai, general category ke students ismein apply nahi kar sakte. Is scheme ke hisaab se, sirf SC category ke students hi eligible hain."
33,plain,"Family income limit is 2.5 lakh rupees per year hai is Post-Matric Scholarship ke liye. Yaani, agar aapke parents ka annual income 2.5 lakh se zyada hai, to aap is scholarship ke liye eligible nahi hain."
34,plain,"Haan, diploma students bhi is scholarship ke liye apply kar sakte hain, kyunki yeh scholarship post-matriculation or post-secondary courses ke liye di jaati hai, aur diploma courses bhi ismein include hain. Lekin, unhein sabhi eligibility conditions ko poora karna hoga, jaise ki SC category se hona, matriculation ya higher secondary pass hona, aur income ceiling ke andar hona."
35,plain,"Scholarship application ki last date ke bare mein toh yahan kuchh specifically mentioned nahi hai, lekin yeh bataya gaya hai ki State Governments/UT Administrations May-June mein scheme ki details announce karte hain aur applications maangte hain. Toh, aapko apne state government ki website ya unke dwara issue kiye gaye advertisements dekhne chahiye taaki aapko pata chal sake ki application ki last date kya hai."
36,plain,"Context mein renewal application ki date ke bare mein koi information nahi hai, sirf eligibility criteria aur scheme ke baare mein bataya gaya hai. Toh, mujhe kehna padega ki context mein is sawal ka jawab nahi hai."
37,plain,"Sorry, context mein is sawal ka jawab nahi hai. Context sirf documents ke baare mein batata hai, lekin result aane ke time ke baare mein kuch nahi kehtha."
38,plain,"Post-Matric scholarship mein milne wali amount alag-alag categories ke hisab se different hai. Is scheme mein maintenance allowance, fees, study tour charges, thesis typing/printing charges, book allowance, aur additional allowance for students with disabilities shamil hai. Maintenance allowance ki amount Group I ke liye 1200 rupees per month hostellers ke liye aur 550 rupees per month day scholars ke liye hai. Group II ke liye yeh amount 820 rupees per month hostellers ke liye aur 530 rupees per month day scholars ke liye hai. Group III ke liye yeh amount 570 rupees per month hostellers ke liye aur 300 rupees per month day scholars ke liye hai. Aur Group IV ke liye yeh amount 380 rupees per month hostellers ke liye aur 230 rupees per month day scholars ke liye hai."
39,plain,"Haan, amount course ke hisaab se alag hoti hai. Jaise ki Group I, Group II, Group III aur Group IV courses ke liye maintenance allowance alag-alag hai. Aur yeh amount day scholars aur hostellers ke liye bhi alag hai."
40,plain,"Haan, hostel mein rehne wale students ko maintenance allowance milta hai, jo ki 400 se 1350 rupees per month tak ho sakta hai."
41,plain,"Scholarship amount direct bank account mein aata hai, college ko nahi jata. State Government/UT administrations ko instruction hai ki wo cash payment avoid karein aur scholarship amount beneficiaries ke bank accounts mein directly transfer karein."
42,plain,"Scholarship apply karne ke liye aapko kuch documents chahiye honge, jaise ki application form, passport size photo, certificates, diploma, degree, caste certificate, income certificate, aur agar aap pehle se scholarship le rahe hain toh uska receipt bhi chahiye hoga. Sabse pehle aapko application form bharna hoga, uske saath aapko apni passport size photo lagani hogi, aur saath hi saath aapko apne certificates, diploma, degree ki copies lagani hogi. Agar aap SC category se hain toh aapko caste certificate ki copy bhi lagani hogi, aur income certificate bhi chahiye hoga. Agar aap pehle se scholarship le rahe hain toh aapko uska receipt bhi lagana hoga."
43,plain,"Income certificate kis authority se banwana padta hai, iska context mein koi jankari nahi hai. Context mein sirf income certificate ki jarurat ke bare mein bataya gaya hai, lekin yeh nahi bataya gaya hai ki kis authority se banwana padta hai."
44,plain,"Nahin, caste certificate submit karna mandatory nahin hai, lekin category (SC/ST) ka information dena zaroori hai."
45,plain,"Bank passbook ki copy ke alawa, aapko Ayushman Bharat ke liye PM/CM entitlement letter, Ration Card, aur Aadhaar Card ki zarurat pad sakti hai. Lekin agar aap PM-KISAN ke liye apply kar rahe hain, to aapko apna Aadhaar number, bank account details, aur anya documents jaise ki Name, Age, Gender, Category (SC/ST) aur mobile number (optional) dena hoga. Agar aap Post-Matric Scholarship ke liye apply kar rahe hain, to aapko application form, passport size photo, certificates, caste certificate, income declaration, aur anya documents dena hoga."
46,plain,"PM Awas Yojana ke liye eligible beneficiaries apply kar sakte hain, jinke paas ghar nahi hai ya jinke paas kachcha ya dilapidated ghar hai. Scheme ke tahat, EWS (Economically Weaker Section) category ke logon ko priority di jaati hai, lekin anya eligible families bhi apply kar sakti hain."
47,plain,"Nahin, jinke paas already pucca ghar hai wo eligible nahi hain. Lekin agar aapke paas pucca ghar hai lekin uska size 21 sqm se kam hai, to aap existing house ko enhance karne ke liye eligible ho sakte hain."
48,plain,"EWS aur LIG category ke liye income criteria hai. EWS households ke liye annual income upto Rs. 3.00 lakhs hai, aur LIG households ke liye annual income Rs. 3.00 lakhs se Rs. 6.00 lakhs ke beech hai."
49,plain,"Haan, Pradhan Mantri Awas Yojana (Urban) 2.0 scheme sirf shehri ilakon ke logo ke liye hai, jismein unhein affordable housing provide kiya jaata hai. Is scheme mein do models hain - ek public sector agencies dwara aur doosra private sector dwara."
50,plain,"PM Awas Yojana ke context mein last date ki koi jankari nahi hai, sirf yeh hai ki iska launch 25th June 2015 ko hua tha aur iska target hai ki 2022 tak sab eligible beneficiaries ko pucca houses mil jayein. Lekin last date ke bare mein koi specific information nahi hai."
51,plain,"Mujhe khed hai, lekin aapka sawal mere paas diye gaye context se related nahi hai. Diye gaye context me sirf PM-KISAN aur Post-Matric Scholarship ke bare me jankari hai, lekin subsidy claim ya construction ke bare me koi jankari nahi hai. Aapka sawal ka jawab dena mushkil hai."
52,plain,"Application status check karne ke liye wait karne ki koi specific time limit nahin di gayi hai, lekin Ayushman Bharat ke liye to aap online check kar sakte hain, https://mera.pmjay.gov.in/search/login par jakar. Baaki schemes ke liye koi specific information nahin hai."
53,plain,"PM Awas Yojana mein interest subsidy EWS/LIG, MIG-I aur MIG-II ke liye alag-alag hai. EWS/LIG ke liye 6.5% interest subsidy milti hai, MIG-I ke liye 4% aur MIG-II ke liye 3% interest subsidy milti hai. Yeh subsidy loan amount aur carpet area ke aadhar par di jaati hai."
54,plain,"Haan, subsidy amount income category ke hisaab se alag hoti hai. EWS/LIG category ke liye interest subsidy 6.5% hai, MIG-I ke liye 4% aur MIG-II ke liye 3% hai. Iske alawa, loan amount bhi alag hai - EWS/LIG ke liye Rs. 6 lakh, MIG-I ke liye Rs. 9 lakh aur MIG-II ke liye Rs. 12 lakh."
55,plain,"Arre, yeh question Ayushman Bharat ke bare mein nahi hai, balki PM Awas Yojana ke Credit Linked Subsidy Scheme (CLSS) ke bare mein hai. Toh, is scheme mein maximum loan amount jo cover hota hai wo Rs. 12 lakh tak hai, lekin interest subsidy sirf Rs. 6 lakh, Rs. 9 lakh aur Rs. 12 lakh tak ke loan amount par milta hai, aur yeh subsidy EWS/LIG, MIG-I aur MIG-II categories ke hisab se alag-alag hai."
56,plain,"Subsidy ek baar hi milti hai, aur wo CNAs dwara PLIs ke disbursements ke aadhar par release hoti hai. Jab PLI beneficiary ko loan deti hai, to CNA subsidy ko ek baar mein PLI ko release karti hai, aur phir PLI us subsidy ko beneficiary ke account mein upfront credit karti hai, jisse beneficiary ko principal loan amount kam karke EMI deni hoti hai."
57,plain,"PM Awas Yojana ke liye documents ke baare mein context mein kuchh specific jankari nahin hai, lekin yeh bataya gaya hai ki ismein female head of the family ko owner ya co-owner hone ki provision hai. Lekin application ke liye konsi documents chahiye, iske baare mein koi jankari nahin di gayi hai."
58,plain,"Income proof ke liye, agar aapke parents employed hain, toh unhe apne employer se income certificate lena hoga. Agar aapke parents self-employed hain, toh unhe affidavit on non-judicial stamp paper par income declaration dena hoga, jismein unki income from all sources ka detail hona chahiye."
59,plain,"Property documents mein aapko ownership proof of land dena hota hai, jismein land ki malikiyat ko prove karna hota hai. Iske alawa, aapko building plan of the house, economic status, aur eligibility ke bare mein bhi details deni hoti hai. Lekin, agar state/UT ne exemption di hai, to layout plan ki zarurat nahi hoti."
60,plain,"Nahi, is scheme ke liye Aadhaar zaroori hai, lekin PAN card ki zaroorat nahi hai. Bank account details aur Aadhaar number diya jana zaroori hai, lekin PAN card ki koi zaroorat nahi hai."
